"X","FirstName","LastName","Position","Origin","Destination","TransferDate","Rating","Stars","Eligibility","Team","Transfer","Player","Team_New"
1780,"Jackson","McGohan","TE","LSU","Wisconsin","2023-12-06T15:24:00.000Z",0.88,3,"Immediate","Wisconsin",TRUE,"Jackson McGohan","louisiana-state"
1781,"Faybian","Marks","CB","Utah","Rice","2023-11-25T04:00:00.000Z",0.81,3,"Immediate","Rice",TRUE,"Faybian Marks","utah"
1782,"Thor","Griffith","DL","Harvard","Louisville","2023-11-24T22:58:00.000Z",0.89,3,"Immediate","Louisville",TRUE,"Thor Griffith",NA
1783,"Max","Brosmer","QB","New Hampshire","Minnesota","2023-11-24T16:40:00.000Z",0.9,4,"Immediate","Minnesota",TRUE,"Max Brosmer",NA
1784,"Keyshawn","Blackstock","IOL","Michigan State","Arkansas","2023-11-24T15:53:00.000Z",0.88,3,"Immediate","Arkansas",TRUE,"Keyshawn Blackstock","michigan-state"
1785,"Clarence","Lewis","CB","Notre Dame","Syracuse","2024-03-29T20:34:00.000Z",0.87,3,"Immediate","Syracuse",TRUE,"Clarence Lewis","notre-dame"
1786,"Charles","Arnold Jr.","S","Coastal Carolina","Missouri State","2024-03-29T05:00:00.000Z",NA,3,"Immediate","Missouri State",TRUE,"Charles Arnold Jr.","coastal-carolina"
1787,"Brevin","Randle","LB","Louisiana Tech","UTSA","2023-12-06T15:19:00.000Z",0.83,3,"Immediate","UTSA",TRUE,"Brevin Randle","louisiana-tech"
1788,"Kyle","Taylor","LB","Tarleton State","Arkansas State","2023-12-05T00:06:00.000Z",0.83,3,"Immediate","Arkansas State",TRUE,"Kyle Taylor",NA
1789,"Brycen","Yarmo","TE","Akron","","2023-11-29T22:49:00.000Z",NA,3,"Immediate","Akron",FALSE,"Brycen Yarmo","akron"
1790,"Justin","Bowick","WR","Eastern Illinois","Ball State","2023-12-01T21:18:00.000Z",0.82,3,"Immediate","Ball State",TRUE,"Justin Bowick",NA
1791,"Byron","Floyd","LS","Pittsburgh","Buffalo","2023-12-01T14:49:00.000Z",NA,NA,"Immediate","Buffalo",TRUE,"Byron Floyd","pittsburgh"
1792,"JJ","Sparkman","WR","Texas Tech","UTSA","2023-12-06T15:18:00.000Z",0.83,3,"Immediate","UTSA",TRUE,"JJ Sparkman","texas-tech"
1793,"Jam","Jackson","CB","Robert Morris","Virginia","2023-11-30T15:29:00.000Z",0.85,3,"Immediate","Virginia",TRUE,"Jam Jackson",NA
1794,"Lucas","Heyer","OT","Stanford","","2023-12-05T01:45:00.000Z",NA,3,"Immediate","Stanford",FALSE,"Lucas Heyer","stanford"
1795,"Jayden","York","TE","Texas Tech","Houston","2023-12-06T15:16:00.000Z",0.84,3,"Immediate","Houston",TRUE,"Jayden York","texas-tech"
1796,"Jaden","Dugger","S","Georgetown","Louisiana","2023-12-04T19:13:00.000Z",0.86,3,"Immediate","Louisiana",TRUE,"Jaden Dugger",NA
1797,"Micah","Cherry","CB","Toledo","Jackson State","2024-04-16T19:10:00.000Z",NA,3,"Immediate","Jackson State",TRUE,"Micah Cherry","toledo"
1798,"Khristopher","Love","IOL","Maryland","","2024-02-13T06:00:00.000Z",NA,3,"Immediate","Maryland",FALSE,"Khristopher Love","maryland"
1799,"Danny","Valenzuela","IOL","Texas State","","2024-03-04T06:00:00.000Z",NA,3,"Immediate","Texas State",FALSE,"Danny Valenzuela","texas-state"
1800,"Tanner","Bailey","QB","South Carolina","","2023-12-04T23:16:00.000Z",NA,3,"Immediate","South Carolina",FALSE,"Tanner Bailey","south-carolina"
1801,"Anton","Juncaj","DL","UAlbany","Arkansas","2023-12-18T15:52:00.000Z",0.9,4,"Immediate","Arkansas",TRUE,"Anton Juncaj",NA
1802,"Kaedric","Cobbs","RB","UTSA","Bryant","2023-12-20T14:05:00.000Z",NA,3,"Immediate","Bryant",TRUE,"Kaedric Cobbs","texas-san-antonio"
1803,"Brennan","Smith","IOL","Austin Peay","UTEP","2023-12-08T00:04:00.000Z",0.82,3,"Immediate","UTEP",TRUE,"Brennan Smith",NA
1804,"Jai'Lun","Hampton","OT","Charlotte","UT Martin","2023-12-04T17:32:00.000Z",NA,3,"Immediate","UT Martin",TRUE,"Jai'Lun Hampton","charlotte"
1805,"Ashtyn","Hawkins","WR","Texas State","Baylor","2023-12-15T06:00:00.000Z",0.88,3,"Immediate","Baylor",TRUE,"Ashtyn Hawkins","texas-state"
1806,"Devonte'","Mathews","CB","Nicholls","Western Kentucky","2023-12-07T00:48:00.000Z",0.86,3,"Immediate","Western Kentucky",TRUE,"Devonte' Mathews",NA
1807,"Cort","Bradley","IOL","UAB","","2023-12-05T21:07:00.000Z",NA,2,"Immediate","UAB",FALSE,"Cort Bradley","alabama-birmingham"
1808,"Rasheed","Miller","OT","Georgia Southern","Louisville","2024-01-02T19:50:00.000Z",0.87,3,"Immediate","Louisville",TRUE,"Rasheed Miller","georgia-southern"
1809,"Zeke","Blake","CB","Youngstown State","Toledo","2023-11-29T22:17:00.000Z",0.84,3,"Immediate","Toledo",TRUE,"Zeke Blake",NA
1810,"Mekhi","Mason","LB","Syracuse","Louisiana Tech","2023-12-15T19:06:00.000Z",0.84,3,"Immediate","Louisiana Tech",TRUE,"Mekhi Mason","syracuse"
1811,"Tamarcus","Cooley","CB","Maryland","NC State","2023-12-13T06:18:00.000Z",0.86,3,"Immediate","NC State",TRUE,"Tamarcus Cooley","maryland"
1812,"Dalesean","Staley","S","Northern Iowa","San Diego State","2023-12-07T06:00:00.000Z",0.85,3,"Immediate","San Diego State",TRUE,"Dalesean Staley",NA
1813,"Blue","Smith","WR","Western Kentucky","","2023-12-27T14:52:00.000Z",NA,4,"Immediate","Western Kentucky",FALSE,"Blue Smith","western-kentucky"
1814,"Colby","Garfield","LS","East Carolina","Ohio","2023-12-12T16:30:00.000Z",NA,NA,"Immediate","Ohio",TRUE,"Colby Garfield","east-carolina"
1815,"Christian","Lee","TE","North Texas","","2023-12-21T21:43:00.000Z",NA,3,"Immediate","North Texas",FALSE,"Christian Lee","north-texas"
1816,"Braylon","James","WR","Notre Dame","TCU","2023-12-04T13:52:00.000Z",0.9,4,"Immediate","TCU",TRUE,"Braylon James","notre-dame"
1817,"Javier","Derritt","DT","North Dakota State","Kansas","2023-12-27T17:31:00.000Z",0.87,3,"Immediate","Kansas",TRUE,"Javier Derritt",NA
1818,"Jake","Pope","S","Alabama","Georgia","2024-01-07T20:30:00.000Z",0.89,3,"Immediate","Georgia",TRUE,"Jake Pope","alabama"
1819,"Tyler","Jordan","RB","Georgia Southern","Western Illinois","2023-12-18T19:40:00.000Z",NA,NA,"Immediate","Western Illinois",TRUE,"Tyler Jordan","georgia-southern"
1820,"Troy","Jakubec","CB","Youngstown State","UAB","2024-04-09T05:00:00.000Z",0.87,3,"Immediate","UAB",TRUE,"Troy Jakubec",NA
1821,"Jaden","McKenzie","DL","Ohio State","East Carolina","2023-12-30T14:58:00.000Z",0.84,3,"Immediate","East Carolina",TRUE,"Jaden McKenzie","ohio-state"
1822,"Nick","Nakwaasah","S","North Texas","","2024-01-19T20:10:00.000Z",NA,3,"Immediate","North Texas",FALSE,"Nick Nakwaasah","north-texas"
1823,"Keegan","Wilburn","WR","Ohio","Bryant","2024-01-09T06:00:00.000Z",NA,3,"Immediate","Bryant",TRUE,"Keegan Wilburn","ohio"
1824,"Rory","Bell","K","Cincinnati","","2023-12-04T21:28:00.000Z",NA,NA,"Immediate","Cincinnati",FALSE,"Rory Bell","cincinnati"
1825,"Marquez","Taylor","RB","Austin Peay","UTEP","2023-12-05T00:21:00.000Z",0.82,3,"Immediate","UTEP",TRUE,"Marquez Taylor",NA
1826,"Hayden","Bray","TE","Oklahoma","","2024-04-16T19:07:00.000Z",NA,NA,"Immediate","Oklahoma",FALSE,"Hayden Bray","oklahoma"
1827,"Eric","Gaston","DL","Memphis","","2024-04-16T19:05:00.000Z",NA,3,"Immediate","Memphis",FALSE,"Eric Gaston","memphis"
1828,"Senika","McKie","WR","UNLV","Coastal Carolina","2023-12-12T14:59:00.000Z",0.83,3,"Immediate","Coastal Carolina",TRUE,"Senika McKie","nevada-las-vegas"
1829,"Hans","Lillis","TE","Boston College","Eastern Michigan","2024-02-07T06:00:00.000Z",0.83,3,"Immediate","Eastern Michigan",TRUE,"Hans Lillis","boston-college"
1830,"Jeff","Sims","QB","Nebraska","Arizona State","2023-12-12T01:46:00.000Z",0.84,3,"Immediate","Arizona State",TRUE,"Jeff Sims","nebraska"
1831,"Ta'ron","Keith","RB","Western Kentucky","South Florida","2024-04-22T18:16:00.000Z",0.86,3,"Immediate","South Florida",TRUE,"Ta'ron Keith","western-kentucky"
1832,"Patrick","Smith-Young","S","North Texas","Old Dominion","2023-12-07T19:54:00.000Z",0.84,3,"Immediate","Old Dominion",TRUE,"Patrick Smith-Young","north-texas"
1833,"EJ","Lightsey","LB","Georgia","Georgia Tech","2023-12-07T19:51:00.000Z",0.87,3,"Immediate","Georgia Tech",TRUE,"EJ Lightsey","georgia"
1834,"Rod","Heard II","CB","Northwestern","Notre Dame","2023-12-28T22:22:00.000Z",0.89,3,"Immediate","Notre Dame",TRUE,"Rod Heard II","northwestern"
1835,"Tyrek","Presley","WR","Tulane","","2023-12-19T21:46:00.000Z",NA,3,"Immediate","Tulane",FALSE,"Tyrek Presley","tulane"
1836,"Terrell","Dawkins","DL","South Carolina","North Texas","2024-03-14T21:33:00.000Z",NA,3,"Immediate","North Texas",TRUE,"Terrell Dawkins","south-carolina"
1837,"Jaden","Lindsay","IOL","App State","Gardner-Webb","2024-03-28T05:00:00.000Z",NA,3,"Immediate","Gardner-Webb",TRUE,"Jaden Lindsay","appalachian-state"
1838,"Trevor","Moffitt","LB","App State","Gardner-Webb","2024-03-27T05:00:00.000Z",NA,3,"Immediate","Gardner-Webb",TRUE,"Trevor Moffitt","appalachian-state"
1839,"Blake","Ruffin","S","Eastern Illinois","Louisville","2023-12-01T04:10:00.000Z",0.87,3,"Immediate","Louisville",TRUE,"Blake Ruffin",NA
1840,"Elias","Larry","CB","Navy","Colorado State","2023-12-11T15:11:00.000Z",0.87,3,"Immediate","Colorado State",TRUE,"Elias Larry","navy"
1841,"Destin","Wade","QB","Kentucky","Colorado","2023-12-04T17:23:00.000Z",0.86,3,"Immediate","Colorado",TRUE,"Destin Wade","kentucky"
1842,"Grant","Copeland","IOL","East Carolina","Lenoir-Rhyne","2023-11-27T14:34:00.000Z",NA,3,"Immediate","Lenoir-Rhyne",TRUE,"Grant Copeland","east-carolina"
1843,"Marley","Cook","DL","Middle Tennessee","Miami","2023-11-27T14:32:00.000Z",0.9,4,"Immediate","Miami",TRUE,"Marley Cook","middle-tennessee-state"
1844,"JD","Sherrod","QB","Troy","Kent State","2024-01-03T00:16:00.000Z",0.81,3,"Immediate","Kent State",TRUE,"JD Sherrod","troy"
1845,"Quincy","Darnell","LB","Georgia Southern","","2023-12-18T16:05:00.000Z",NA,NA,"Immediate","Georgia Southern",FALSE,"Quincy Darnell","georgia-southern"
1846,"Antonio","Jones","WR","Grambling","Temple","2024-01-02T17:51:00.000Z",0.83,3,"Immediate","Temple",TRUE,"Antonio Jones",NA
1847,"Brian","Kilbane Jr.","IOL","Akron","Massachusetts","2024-01-23T06:00:00.000Z",NA,2,"Immediate","Massachusetts",TRUE,"Brian Kilbane Jr.","akron"
1848,"Devin","Baldwin","DL","Jacksonville State","Memphis","2024-01-08T06:00:00.000Z",0.86,3,"Immediate","Memphis",TRUE,"Devin Baldwin","jacksonville-state"
1849,"Julian","Fleming","WR","Ohio State","Penn State","2023-12-04T17:14:00.000Z",0.92,4,"Immediate","Penn State",TRUE,"Julian Fleming","ohio-state"
1850,"Javen","Jacobs","RB","Arizona State","New Mexico","2023-12-04T17:30:00.000Z",0.83,3,"Immediate","New Mexico",TRUE,"Javen Jacobs","arizona-state"
1851,"Andrew","Alvarado","OT","Houston Christian","","2024-01-08T06:00:00.000Z",NA,NA,"Immediate","Houston Christian",FALSE,"Andrew Alvarado",NA
1852,"Jermarius","Lewis","S","New Mexico","UTSA","2023-11-25T06:00:00.000Z",0.84,3,"Immediate","UTSA",TRUE,"Jermarius Lewis","new-mexico"
1853,"Gerald","Mincey","OT","Tennessee","Kentucky","2024-01-04T23:15:00.000Z",0.87,3,"Immediate","Kentucky",TRUE,"Gerald Mincey","tennessee"
1854,"Goldie","Lawrence","WR","UCF","Arkansas State","2024-04-17T14:01:00.000Z",0.86,3,"Immediate","Arkansas State",TRUE,"Goldie Lawrence","central-florida"
1855,"John","McConnell","P","Marshall","Akron","2023-12-20T17:26:00.000Z",NA,2,"Immediate","Akron",TRUE,"John McConnell","marshall"
1856,"Warren","Burrell","CB","Tennessee","Georgia Tech","2023-11-30T20:54:00.000Z",0.86,3,"Immediate","Georgia Tech",TRUE,"Warren Burrell","tennessee"
1857,"Stone","Earle","QB","North Texas","Abilene Christian","2023-11-30T20:52:00.000Z",NA,NA,"Immediate","Abilene Christian",TRUE,"Stone Earle","north-texas"
1858,"Scooby","Williams","LB","Florida","Texas A&M","2024-01-02T19:33:00.000Z",0.9,4,"Immediate","Texas A&M",TRUE,"Scooby Williams","florida"
1859,"Antonio","Carter II","CB","Notre Dame","Jacksonville State","2023-12-05T21:15:00.000Z",0.82,3,"Immediate","Jacksonville State",TRUE,"Antonio Carter II","notre-dame"
1860,"Chris","Crouch","S","Georgia Southern","","2023-12-05T21:15:00.000Z",NA,NA,"Immediate","Georgia Southern",FALSE,"Chris Crouch","georgia-southern"
1861,"Jayden","George","QB","Miami","","2024-01-15T06:00:00.000Z",NA,NA,"Immediate","Miami",FALSE,"Jayden George","miami-fl"
1862,"Chris","Rodgers","S","Troy","Tulane","2023-12-27T17:28:00.000Z",0.84,3,"Immediate","Tulane",TRUE,"Chris Rodgers","troy"
1863,"Tre","Bradford","RB","North Texas","","2024-04-26T19:50:00.000Z",NA,4,"Immediate","North Texas",FALSE,"Tre Bradford","north-texas"
1864,"Cayden","Green","OT","Oklahoma","Missouri","2023-12-12T19:23:00.000Z",0.95,4,"Immediate","Missouri",TRUE,"Cayden Green","oklahoma"
1865,"Jae'vone","Brown","IOL","New Mexico State","Southeast Oklahoma State","2023-12-19T21:42:00.000Z",NA,2,"Immediate","Southeast Oklahoma State",TRUE,"Jae'vone Brown","new-mexico-state"
1866,"Tyler","King","WR","Texas Tech","Wyoming","2023-12-06T02:07:00.000Z",0.82,3,"Immediate","Wyoming",TRUE,"Tyler King","texas-tech"
1867,"Cameron","Ball","TE","Buffalo","Mississippi State","2023-12-12T01:40:00.000Z",0.9,4,"Immediate","Mississippi State",TRUE,"Cameron Ball","buffalo"
1868,"Jordan","McCloud","QB","James Madison","Texas State","2023-12-04T17:22:00.000Z",0.89,3,"Immediate","Texas State",TRUE,"Jordan McCloud","james-madison"
1869,"Tayon","Holloway","CB","North Carolina","Louisville","2023-12-05T21:08:00.000Z",0.87,3,"Immediate","Louisville",TRUE,"Tayon Holloway","north-carolina"
1870,"Mason","Pierce","WR","Marshall","Incarnate Word","2023-12-19T21:40:00.000Z",NA,NA,"Immediate","Incarnate Word",TRUE,"Mason Pierce","marshall"
1871,"Kenny","Odom","WR","Austin Peay","UTEP","2023-12-08T00:03:00.000Z",0.81,3,"Immediate","UTEP",TRUE,"Kenny Odom",NA
1872,"Tomiwa","Durojaiye","DL","West Virginia","Florida State","2024-01-02T14:08:00.000Z",0.9,4,"Immediate","Florida State",TRUE,"Tomiwa Durojaiye","west-virginia"
1873,"LV","Bunkley-Shelton","WR","Oklahoma","Georgia Southern","2023-12-26T06:00:00.000Z",0.85,3,"Immediate","Georgia Southern",TRUE,"LV Bunkley-Shelton","oklahoma"
1874,"Antione","Jackson","CB","East Carolina","UCF","2023-12-26T06:00:00.000Z",0.88,3,"Immediate","UCF",TRUE,"Antione Jackson","east-carolina"
1875,"Quavian","Carter","LB","Michigan State","","2023-12-26T06:00:00.000Z",NA,3,"Immediate","Michigan State",FALSE,"Quavian Carter","michigan-state"
1876,"Mikail","Kamara","DL","James Madison","Indiana","2023-12-05T01:43:00.000Z",0.85,3,"Immediate","Indiana",TRUE,"Mikail Kamara","james-madison"
1877,"Marlyn","Johnson","WR","Buffalo","Florida Atlantic","2023-12-05T21:05:00.000Z",0.86,3,"Immediate","Florida Atlantic",TRUE,"Marlyn Johnson","buffalo"
1878,"Quindario","Lee","DL","Central Michigan","Houston","2023-12-05T21:05:00.000Z",0.87,3,"Immediate","Houston",TRUE,"Quindario Lee","central-michigan"
1879,"Chance","Carroll","IOL","North Carolina","Georgia Southern","2024-01-10T06:00:00.000Z",NA,2,"Immediate","Georgia Southern",TRUE,"Chance Carroll","north-carolina"
1880,"Jakiah","Leftwich","OT","Georgia Tech","North Carolina","2024-01-09T16:15:00.000Z",0.85,3,"Immediate","North Carolina",TRUE,"Jakiah Leftwich","georgia-tech"
1881,"Devyn","Curtis","LB","Middle Tennessee","","2023-11-28T16:37:00.000Z",NA,3,"Immediate","Middle Tennessee",FALSE,"Devyn Curtis","middle-tennessee-state"
1882,"Chris","Pearson","LB","Houston","Arkansas State","2023-12-05T20:58:00.000Z",0.83,3,"Immediate","Arkansas State",TRUE,"Chris Pearson","houston"
1883,"Quaron","Adams","WR","Iowa State","South Dakota","2023-12-04T21:56:00.000Z",NA,3,"Immediate","South Dakota",TRUE,"Quaron Adams","iowa-state"
1884,"Derrell","Bailey Jr.","IOL","South Florida","East Tennessee State","2023-12-25T22:30:00.000Z",NA,3,"Immediate","East Tennessee State",TRUE,"Derrell Bailey Jr.","south-florida"
1885,"Zavier","Short","WR","South Carolina","App State","2023-12-05T00:06:00.000Z",0.82,3,"Immediate","App State",TRUE,"Zavier Short","south-carolina"
1886,"Davonte","Brown","CB","Miami","Florida State","2024-01-02T16:08:00.000Z",0.88,3,"Immediate","Florida State",TRUE,"Davonte Brown","miami-fl"
1887,"Tahj","Ra-El","S","Old Dominion","Memphis","2023-12-30T06:00:00.000Z",0.89,3,"Immediate","Memphis",TRUE,"Tahj Ra-El","old-dominion"
1888,"Zyell","Griffin","WR","UNLV","Eastern Michigan","2024-03-27T05:00:00.000Z",0.82,3,"Immediate","Eastern Michigan",TRUE,"Zyell Griffin","nevada-las-vegas"
1889,"Thad","Franklin","RB","UL Monroe","Florida A&M","2023-12-03T15:07:00.000Z",NA,4,"Immediate","Florida A&M",TRUE,"Thad Franklin","louisiana-monroe"
1890,"Alani","Makihele","IOL","UNLV","UCLA","2024-03-27T05:00:00.000Z",0.85,3,"Immediate","UCLA",TRUE,"Alani Makihele","nevada-las-vegas"
1891,"Tavarius","Pitts","DL","San José State","","2024-04-08T05:00:00.000Z",NA,3,"Immediate","San José State",FALSE,"Tavarius Pitts","san-jose-state"
1892,"Zamar","Grove","DL","Temple","","2024-04-05T15:00:00.000Z",NA,3,"Immediate","Temple",FALSE,"Zamar Grove","temple"
1893,"Blake","Ochsendorf","P","Louisiana Tech","LSU","2023-12-07T20:17:00.000Z",NA,NA,"Immediate","LSU",TRUE,"Blake Ochsendorf","louisiana-tech"
1894,"Michel","Dukes","RB","South Florida","Jacksonville State","2024-01-02T21:57:00.000Z",NA,3,"Immediate","Jacksonville State",TRUE,"Michel Dukes","south-florida"
1895,"Sai","Vadrawale III","CB","California","Oregon State","2024-01-03T22:10:00.000Z",0.86,3,"Immediate","Oregon State",TRUE,"Sai Vadrawale III","california"
1896,"Gerald","Green","RB","East Carolina","Troy","2024-01-03T22:09:00.000Z",0.86,3,"Immediate","Troy",TRUE,"Gerald Green","east-carolina"
1897,"Rush","Reimer","IOL","Montana State","California","2023-12-04T16:47:00.000Z",0.86,3,"Immediate","California",TRUE,"Rush Reimer",NA
1898,"Phil","Gunn","IOL","Ball State","","2023-12-30T00:15:00.000Z",NA,2,"Immediate","Ball State",FALSE,"Phil Gunn","ball-state"
1899,"Carlson","Joseph","RB","Florida","","2023-12-04T16:18:00.000Z",NA,NA,"Immediate","Florida",FALSE,"Carlson Joseph","florida"
1900,"Preston","Daniel","TE","Florida State","Miami (OH)","2023-12-04T20:55:00.000Z",0.83,3,"Immediate","Miami (OH)",TRUE,"Preston Daniel","florida-state"
1901,"Chimere","Dike","WR","Wisconsin","Florida","2023-12-04T16:17:00.000Z",0.88,3,"Immediate","Florida",TRUE,"Chimere Dike","wisconsin"
1902,"De'Rickey","Wright","S","Vanderbilt","Vanderbilt","2023-12-04T16:21:00.000Z",0.89,3,"Immediate","Vanderbilt",TRUE,"De'Rickey Wright","vanderbilt"
1903,"Kamar","Missouri","OT","Rutgers","UTSA","2023-12-04T16:06:00.000Z",0.86,3,"Immediate","UTSA",TRUE,"Kamar Missouri","rutgers"
1904,"Russell","Tabor","QB","North Carolina","","2023-12-04T21:00:00.000Z",NA,NA,"Immediate","North Carolina",FALSE,"Russell Tabor","north-carolina"
1905,"Abi","Nwabuoku-Okonji","DL","James Madison","","2023-12-05T01:53:00.000Z",NA,3,"Withdrawn","James Madison",FALSE,"Abi Nwabuoku-Okonji","james-madison"
1906,"Marquis","Cooper","CB","Buffalo","","2023-12-05T15:10:00.000Z",NA,NA,"Withdrawn","Buffalo",FALSE,"Marquis Cooper","buffalo"
1907,"Jake","Appleget","TE","Nebraska","Northern Illinois","2023-12-04T16:27:00.000Z",0.85,3,"Immediate","Northern Illinois",TRUE,"Jake Appleget","nebraska"
1908,"Rayf","Vinson","WR","Ole Miss","Samford","2023-12-04T16:19:00.000Z",NA,2,"Immediate","Samford",TRUE,"Rayf Vinson","mississippi"
1909,"Isaiah","Johnson","CB","Arizona State","Marshall","2023-12-04T20:45:00.000Z",0.87,3,"Immediate","Marshall",TRUE,"Isaiah Johnson","arizona-state"
1910,"Mason","Howard","OT","Old Dominion","Wofford","2023-12-04T20:45:00.000Z",NA,3,"Immediate","Wofford",TRUE,"Mason Howard","old-dominion"
1911,"Jasper","Lott","IOL","TCU","North Texas","2023-12-04T20:43:00.000Z",0.81,3,"Immediate","North Texas",TRUE,"Jasper Lott","texas-christian"
1912,"Jonathan","Thomas","LB","Nevada","Incarnate Word","2023-12-05T14:25:00.000Z",NA,3,"Immediate","Incarnate Word",TRUE,"Jonathan Thomas","nevada"
1913,"Carston","Marshall","LB","Iowa State","Youngstown State","2023-12-04T16:17:00.000Z",NA,3,"Immediate","Youngstown State",TRUE,"Carston Marshall","iowa-state"
1914,"Amipeleasi","Langi","DL","Houston","Texas State","2023-12-05T06:00:00.000Z",0.84,3,"Immediate","Texas State",TRUE,"Amipeleasi Langi","houston"
1915,"DJ","Lundy","LB","Florida State","","2023-12-18T16:52:00.000Z",0.89,3,"Withdrawn","Florida State",FALSE,"DJ Lundy","florida-state"
1916,"Keyan","Burnett","TE","Arizona","","2024-01-17T06:00:00.000Z",NA,4,"Withdrawn","Arizona",FALSE,"Keyan Burnett","arizona"
1917,"Andreas","Keaton","S","Western Carolina","Temple","2023-12-08T03:18:00.000Z",0.85,3,"Immediate","Temple",TRUE,"Andreas Keaton",NA
1918,"Anthony","Woods","RB","Idaho","Utah","2023-12-08T01:48:00.000Z",0.89,3,"Immediate","Utah",TRUE,"Anthony Woods",NA
1919,"Pat","Conroy","TE","Merrimack","Old Dominion","2023-12-15T06:00:00.000Z",0.85,3,"Immediate","Old Dominion",TRUE,"Pat Conroy",NA
1920,"Ja'Corey","Brooks","WR","Alabama","Louisville","2023-12-07T20:11:00.000Z",0.91,4,"Immediate","Louisville",TRUE,"Ja'Corey Brooks","alabama"
1921,"Jaidyn","Denis","CB","Elon","Memphis","2023-11-29T06:00:00.000Z",0.87,3,"Immediate","Memphis",TRUE,"Jaidyn Denis",NA
1922,"Aydin","Henningham","LB","Pittsburgh","Albany State","2023-11-29T14:31:00.000Z",NA,3,"Immediate","Albany State",TRUE,"Aydin Henningham","pittsburgh"
1923,"Jahbari","Hill","CB","Florida Atlantic","North Alabama","2023-12-04T22:58:00.000Z",NA,3,"Immediate","North Alabama",TRUE,"Jahbari Hill","florida-atlantic"
1924,"Tyler","Stephens","IOL","James Madison","Indiana","2023-12-11T23:59:00.000Z",0.87,3,"Immediate","Indiana",TRUE,"Tyler Stephens","james-madison"
1925,"Jordan","Mahoney","CB","Massachusetts","Arkansas State","2023-12-01T20:18:00.000Z",0.85,3,"Immediate","Arkansas State",TRUE,"Jordan Mahoney","massachusetts"
1926,"Jabbar","Muhammad","CB","Washington","Oregon","2024-01-12T19:56:00.000Z",0.94,4,"Immediate","Oregon",TRUE,"Jabbar Muhammad","washington"
1927,"Daveon","Walker","WR","Vanderbilt","Florida A&M","2023-12-04T21:51:00.000Z",NA,3,"Immediate","Florida A&M",TRUE,"Daveon Walker","vanderbilt"
1928,"Heston","Edwards","OT","Texas-Permian Basin","Coastal Carolina","2023-11-20T18:26:00.000Z",0.82,3,"Immediate","Coastal Carolina",TRUE,"Heston Edwards",NA
1929,"Marcus","Harris","CB","Idaho","California","2023-12-11T06:00:00.000Z",0.93,4,"Immediate","California",TRUE,"Marcus Harris",NA
1930,"Adam","Tomczyk","DL","Utah State","","2023-12-11T20:36:00.000Z",NA,3,"Immediate","Utah State",FALSE,"Adam Tomczyk","utah-state"
1931,"Melvin","Priestly","OT","Grambling","Illinois","2024-01-01T13:58:00.000Z",0.85,3,"Immediate","Illinois",TRUE,"Melvin Priestly",NA
1932,"Reggion","Bennett","RB","Jacksonville State","","2024-03-27T05:00:00.000Z",NA,2,"Immediate","Jacksonville State",FALSE,"Reggion Bennett","jacksonville-state"
1933,"Spencer","Curtis","WR","Nevada","","2024-03-27T05:00:00.000Z",NA,NA,"Immediate","Nevada",FALSE,"Spencer Curtis","nevada"
1934,"Tirek","Austin-Cave","LB","West Virginia","New Mexico","2024-03-26T05:00:00.000Z",0.84,3,"Immediate","New Mexico",TRUE,"Tirek Austin-Cave","west-virginia"
1935,"Gage","Larvadain","WR","Miami (OH)","South Carolina","2023-12-26T06:00:00.000Z",0.87,3,"Immediate","South Carolina",TRUE,"Gage Larvadain","miami-oh"
1936,"Lucas","Banks","DL","Mississippi Valley State","Arkansas State","2023-12-10T06:00:00.000Z",0.83,3,"Immediate","Arkansas State",TRUE,"Lucas Banks",NA
1937,"Cameron","Calhoun","CB","Michigan","Utah","2023-12-28T06:00:00.000Z",0.89,3,"Immediate","Utah",TRUE,"Cameron Calhoun","michigan"
1938,"Caleb","Coombs","WR","Marshall","Florida Atlantic","2023-12-06T18:39:00.000Z",0.84,3,"Immediate","Florida Atlantic",TRUE,"Caleb Coombs","marshall"
1939,"DeAndre","Dingle-Prince","DL","App State","North Carolina A&T","2024-03-26T05:00:00.000Z",NA,3,"Immediate","North Carolina A&T",TRUE,"DeAndre Dingle-Prince","appalachian-state"
1940,"Jayden","Harrison","WR","Marshall","Notre Dame","2024-01-04T06:00:00.000Z",0.88,3,"Immediate","Notre Dame",TRUE,"Jayden Harrison","marshall"
1941,"O'Mega","Blake","WR","East Carolina","Charlotte","2024-04-17T20:52:00.000Z",0.85,3,"Immediate","Charlotte",TRUE,"O'Mega Blake","east-carolina"
1942,"Shawn","Asbury II","S","Old Dominion","Indiana","2024-01-01T06:00:00.000Z",0.88,3,"Immediate","Indiana",TRUE,"Shawn Asbury II","old-dominion"
1943,"Ty Son","Lawton","RB","James Madison","Indiana","2023-12-07T13:00:00.000Z",0.85,3,"Immediate","Indiana",TRUE,"Ty Son Lawton","james-madison"
1944,"Reese","Poffenbarger","QB","UAlbany","Miami","2023-12-20T23:54:00.000Z",0.86,3,"Immediate","Miami",TRUE,"Reese Poffenbarger",NA
1945,"Skyler","Locklear","QB","Austin Peay","UTEP","2023-12-10T23:53:00.000Z",0.82,3,"Immediate","UTEP",TRUE,"Skyler Locklear",NA
